,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
45,64685,316080,Entire home/apt,,,49,5.0,5.0,2.0,2.0,155.0,2.0,25.802324,-80.132538,2016-02-12 15:50:14.857892
46,65980,7859,Private room,,,268,5.0,1.0,1.0,1.0,65.0,2.0,25.805488,-80.127379,2016-02-13 02:06:57.363332
47,66601,326504,Entire home/apt,,,34,4.5,3.0,1.0,1.0,110.0,10.0,25.778381,-80.13811,2016-02-13 04:47:23.375696
48,66839,328350,Private room,,,70,5.0,2.0,1.0,1.0,58.0,2.0,25.853186,-80.189034,2016-02-12 14:24:35.597370
49,67786,334732,Entire home/apt,,,1,4.0,,2.0,2.0,400.0,7.0,25.835764,-80.121301,2016-02-12 16:39:59.368111
50,68330,8643876,Entire home/apt,,,11,4.5,,3.0,1.0,297.0,1.0,25.794352,-80.130244,2016-02-13 04:24:54.814687
51,68395,52601,Entire home/apt,,,3,3.5,5.0,3.0,2.0,300.0,5.0,25.938177,-80.123254,2016-02-12 13:59:23.116792
52,69850,351686,Private room,,,191,4.5,2.0,1.0,1.0,69.0,1.0,25.875224,-80.123898,2016-02-12 19:23:15.874635
53,70546,347935,Entire home/apt,,,33,4.5,,4.0,2.0,499.0,2.0,25.801213,-80.188539,2016-02-12 16:54:21.600542
54,73340,7584,Entire home/apt,,,66,4.5,2.0,1.0,1.0,95.0,7.0,25.780578,-80.128498,2016-02-12 17:23:05.642885
55,73612,8643876,Entire home/apt,,,0,,,5.0,2.0,770.0,3.0,25.795566,-80.140003,2016-02-12 18:51:58.824761
56,73621,8643876,Entire home/apt,,,9,4.5,,4.0,1.0,397.0,2.0,25.779806,-80.131045,2016-02-12 14:28:14.024308
57,74727,8643876,Private room,,,0,,5.0,1.0,2.0,297.0,3.0,25.794161,-80.141366,2016-02-12 18:01:38.671142
58,75636,401709,Private room,,,44,5.0,2.0,1.0,1.0,62.0,1.0,25.841386,-80.189023,2016-02-12 18:10:18.168735
59,76303,7859,Entire home/apt,,,233,4.5,4.0,1.0,1.0,100.0,,25.80146,-80.131682,2016-02-13 02:46:33.289574
60,77165,77595,Entire home/apt,,,19,4.5,,2.0,,202.0,,25.77216,-80.136998,2016-02-12 20:15:03.055373
61,78693,95408,Entire home/apt,,,25,4.5,2.0,1.0,1.0,78.0,5.0,25.86002,-80.123291,2016-02-13 04:09:28.207023
62,79322,192154,Entire home/apt,,,23,4.5,4.0,2.0,,225.0,4.0,25.789123,-80.143745,2016-02-13 03:34:12.220359
63,80542,435431,Shared room,,,2,3.0,1.0,1.0,1.0,65.0,1.0,25.779651,-80.133977,2016-02-12 18:19:25.875497
64,82804,52601,Entire home/apt,,,0,,,3.0,2.0,350.0,2.0,25.937811,-80.121919,2016-02-12 18:45:16.649220
65,83718,276745,Private room,,,2,4.0,3.0,1.0,1.0,179.0,2.0,25.759209,-80.19803,2016-02-12 15:41:14.292115
66,84089,276745,Entire home/apt,,,18,4.0,5.0,2.0,2.0,310.0,2.0,25.759513,-80.198721,2016-02-13 03:47:58.274735
67,84092,276745,Entire home/apt,,,11,4.0,,3.0,2.0,257.0,1.0,25.75954,-80.197321,2016-02-13 05:11:49.739231
68,88833,70447,Entire home/apt,,,65,5.0,2.0,0.0,1.0,89.0,,25.77873,-80.134219,2016-02-12 17:10:14.023713
69,89945,52601,Entire home/apt,,,13,4.5,3.0,1.0,1.0,125.0,1.0,25.935759,-80.12536,2016-02-13 03:41:33.587878
70,101510,531541,Entire home/apt,,,20,4.5,,4.0,,700.0,3.0,25.869995,-80.137566,2016-02-13 04:28:25.996536
71,122756,519392,Entire home/apt,,,90,5.0,2.0,1.0,1.0,80.0,2.0,25.843678,-80.184186,2016-02-12 18:08:31.541620
72,123149,233468,Entire home/apt,,,12,4.0,,2.0,1.0,320.0,3.0,25.774255,-80.130986,2016-02-13 02:41:31.124126
73,130444,326504,Entire home/apt,,,65,4.5,2.0,1.0,1.0,95.0,7.0,25.779958,-80.138624,2016-02-12 16:13:27.369029
74,130905,644152,Entire home/apt,,,84,4.5,5.0,1.0,1.0,199.0,5.0,25.796535,-80.125466,2016-02-13 03:22:21.441759
75,143015,694109,Private room,,,0,,1.0,1.0,,150.0,1.0,25.950222,-80.336251,2016-02-12 15:27:58.507833
76,146814,709784,Entire home/apt,,,69,5.0,3.0,1.0,1.0,160.0,5.0,25.780625,-80.134576,2016-02-13 00:22:22.124815
77,148312,716303,Private room,,,0,,2.0,1.0,1.0,86.0,1.0,25.93726,-80.276684,2016-02-12 15:08:44.222909
78,148326,716303,Private room,,,0,,1.0,1.0,,72.0,1.0,25.938453,-80.278274,2016-02-12 23:44:22.518457
79,150861,531541,Entire home/apt,,,36,4.5,,4.0,3.0,775.0,3.0,25.869075,-80.137407,2016-02-12 14:27:47.379455
80,151203,724839,Entire home/apt,,,86,5.0,4.0,1.0,1.0,249.0,2.0,25.794784,-80.129945,2016-02-12 19:43:07.303241
81,153649,738909,Private room,,,10,5.0,1.0,1.0,1.0,100.0,4.0,25.799508,-80.138178,2016-02-12 18:49:44.299870
82,153973,740449,Private room,,,0,,4.0,1.0,,350.0,7.0,25.846671,-80.119271,2016-02-13 00:14:40.083018
83,154249,741893,Entire home/apt,,,21,4.5,,3.0,2.0,350.0,90.0,25.88983,-80.15832,2016-02-12 20:25:52.504452
84,155272,603485,Private room,,,10,4.5,1.0,1.0,,75.0,6.0,25.811105,-80.197993,2016-02-13 03:46:21.443196
85,156405,52601,Entire home/apt,,,10,4.5,5.0,2.0,,120.0,5.0,25.93859,-80.126276,2016-02-12 16:19:35.163745
86,164372,784088,Entire home/apt,,,28,5.0,,3.0,3.0,215.0,10.0,25.893804,-80.126336,2016-02-12 17:34:45.492226
87,164771,785174,Entire home/apt,,,56,4.5,4.0,1.0,1.0,90.0,2.0,25.782616,-80.1381,2016-02-12 14:35:13.676849
88,164846,785174,Entire home/apt,,,74,4.5,4.0,1.0,1.0,120.0,3.0,25.778791,-80.137986,2016-02-13 03:43:57.073744
89,164933,786473,Entire home/apt,,,50,5.0,4.0,1.0,1.0,95.0,3.0,25.668551,-80.340548,2016-02-12 14:54:31.262894
90,165130,787568,Entire home/apt,,,34,4.5,4.0,1.0,,150.0,1.0,25.776333,-80.135546,2016-02-13 05:15:05.958287
91,171028,360080,Private room,,,7,4.5,2.0,1.0,1.0,75.0,1.0,25.883547,-80.181016,2016-02-12 21:23:06.585221
92,172778,292221,Entire home/apt,,,81,4.5,5.0,2.0,2.0,265.0,3.0,25.783367,-80.13164,2016-02-12 17:25:31.032023
93,174839,243471,Entire home/apt,,,16,5.0,4.0,1.0,2.0,210.0,6.0,25.836056,-80.12074,2016-02-13 00:38:26.657203
94,177088,846895,Private room,,,15,5.0,2.0,1.0,1.0,59.0,4.0,25.858165,-80.121088,2016-02-12 21:42:42.402655
95,183449,740165,Entire home/apt,,,113,4.5,2.0,1.0,1.0,45.0,2.0,25.740481,-80.256485,2016-02-13 04:04:18.821403
96,186050,893572,Entire home/apt,,,75,4.0,4.0,1.0,1.0,99.0,5.0,25.818348,-80.123591,2016-02-12 21:48:40.305686
97,187894,904530,Private room,,,102,4.5,2.0,1.0,,65.0,1.0,25.831896,-80.181842,2016-02-12 22:00:29.092713
98,192099,930112,Entire home/apt,,,24,4.5,3.0,1.0,1.0,85.0,3.0,25.863931,-80.182234,2016-02-12 20:35:03.281622
99,193635,944871,Entire home/apt,,,15,5.0,3.0,1.0,1.0,135.0,7.0,25.78448,-80.132098,2016-02-12 17:29:42.372221
100,193800,940274,Private room,,,231,4.5,3.0,1.0,1.0,65.0,1.0,25.786361,-80.137908,2016-02-12 19:05:09.283868
101,195241,3588990,Entire home/apt,,,1,5.0,4.0,0.0,1.0,199.0,3.0,25.781373,-80.142181,2016-02-13 03:39:35.890124
102,195633,25188,Entire home/apt,,,2,5.0,4.0,2.0,2.0,349.0,4.0,25.760176,-80.194521,2016-02-12 19:16:57.093663
103,195653,25188,Entire home/apt,,,0,,3.0,1.0,1.0,249.0,3.0,25.758222,-80.19339,2016-02-13 04:56:08.187563
104,195863,668204,Entire home/apt,,,154,4.5,2.0,1.0,1.0,89.0,3.0,25.858063,-80.119297,2016-02-13 04:35:59.173549
105,196388,956110,Entire home/apt,,,20,4.5,3.0,0.0,1.0,100.0,2.0,25.781415,-80.132532,2016-02-12 15:01:26.946733
106,196884,959414,Entire home/apt,,,125,4.5,3.0,1.0,1.0,109.0,3.0,25.77222,-80.187414,2016-02-13 01:16:54.144644
107,198506,149539,Entire home/apt,,,39,4.5,3.0,1.0,1.0,119.0,3.0,25.784086,-80.132325,2016-02-12 19:02:33.498933
108,204187,1002413,Entire home/apt,,,2,4.5,,4.0,3.0,250.0,5.0,25.613482,-80.325943,2016-02-13 00:07:41.733977
109,204796,580983,Entire home/apt,,,6,5.0,4.0,1.0,1.0,200.0,3.0,25.778326,-80.131571,2016-02-13 04:09:59.731899
110,206580,911007,Entire home/apt,,,65,4.5,4.0,1.0,1.0,135.0,4.0,25.787041,-80.131531,2016-02-13 01:43:05.603972
111,207131,1017330,Entire home/apt,,,128,4.5,2.0,0.0,1.0,89.0,,25.780206,-80.133297,2016-02-13 04:11:16.521953
112,212409,1095523,Entire home/apt,,,2,5.0,,2.0,2.0,400.0,14.0,25.829988,-80.120453,2016-02-12 16:30:53.977394
113,212852,1097578,Entire home/apt,,,130,4.5,4.0,1.0,,130.0,1.0,25.781319,-80.134289,2016-02-13 01:37:48.666232
114,212906,1097917,Entire home/apt,,,108,5.0,3.0,1.0,1.0,85.0,2.0,25.76064,-80.260527,2016-02-13 00:18:17.307285
115,213505,1097578,Private room,,,236,5.0,2.0,1.0,0.0,70.0,1.0,25.78406,-80.131497,2016-02-12 18:13:54.067348
116,214805,1109059,Entire home/apt,,,33,4.5,4.0,1.0,,125.0,3.0,25.78173,-80.135953,2016-02-12 20:46:56.530541
117,221438,1140588,Entire home/apt,,,37,5.0,2.0,1.0,1.0,149.0,6.0,25.770108,-80.191097,2016-02-13 04:50:14.459123
118,221489,1149139,Entire home/apt,,,28,5.0,,4.0,,1050.0,1.0,25.797895,-80.129742,2016-02-12 21:33:50.064560
119,221602,1136594,Entire home/apt,,,13,4.5,,1.0,2.0,268.0,3.0,25.795118,-80.128456,2016-02-12 19:29:31.366136
120,221855,1151354,Entire home/apt,,,84,4.5,2.0,1.0,1.0,115.0,2.0,25.784478,-80.134572,2016-02-13 02:59:45.209894
121,224596,1169090,Entire home/apt,,,34,4.5,4.0,1.0,1.0,137.0,7.0,25.787325,-80.144934,2016-02-13 00:05:08.806877
